English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
AMENORRHEA,,,,In case of primary amenorrhea (delayed puberty in girls).  Natrum mur 9CH - 1 single dose Pulsatilla 7CH - 3 granules at wake-upFerrum phos 5CH - 3 granules at 10 o\u2019clock a. m.  and at 4 o\u2019clock p. m. Manganum 5CH - 3 granules at bedtime.  In case of secondary amenorrhea (due to many causes) -After fear - Aconit 15CH 1 dose After a cold - Aconit 7CH 1 dose After anger - Colocynthis 9CH or Nux Vomica 9CH 1 dose After trauma - Arnica 15CH 1 dose.  Systematically  Senecio 9CH  1 dose the day before presumed menstruation. ,Amenorrhea,In Case Of Primary Amenorrhea (Delayed Puberty In Girls).  Natrum Mur 9Ch - 1 Single Dose Pulsatilla 7Ch - 3 Granules At Wake-Upferrum Phos 5Ch - 3 Granules At 10 O\U2019Clock A. M.  And At 4 O\U2019Clock P. M. Manganum 5Ch - 3 Granules At Bedtime.  In Case Of Secondary Amenorrhea (Due To Many Causes) -After Fear - Aconit 15Ch 1 Dose After A Cold - Aconit 7Ch 1 Dose After Anger - Colocynthis 9Ch Or Nux Vomica 9Ch 1 Dose After Trauma - Arnica 15Ch 1 Dose.  Systematically  Senecio 9Ch  1 Dose The Day Before Presumed Menstruation. ,In Case Of Primary Amenorrhea (Delayed Puberty In Girls). Natrum Mur 9Ch - 1 Single Dose Pulsatilla 7Ch - 3 Granules At Wake-Upferrum Phos 5Ch - 3 Granules At 10 O\U2019Clock A. M. And At 4 O\U2019Clock P. M. Manganum 5Ch - 3 Granules At Bedtime. In Case Of Secondary Amenorrhea (Due To Many Causes) -After Fear - Aconit 15Ch 1 Dose After A Cold - Aconit 7Ch 1 Dose After Anger - Colocynthis 9Ch Or Nux Vomica 9Ch 1 Dose After Trauma - Arnica 15Ch 1 Dose. Systematically Senecio 9Ch 1 Dose The Day Before Presumed Menstruation.
ANAEMIA,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X ,,,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X ,Anaemia1,Calcarea Flouride3X Calcarea Phosphorica 3X Or 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali  Sulphuricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12X ,Calcarea Flouride3X Calcarea Phosphorica 3X Or 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12X
ANEMIA,,,,The homeopathic doctor will often jointly associate allopathy and homeopathy - Allopathy will provide the body what it lacks of - iron  B12 vitamin  and homeopathy will provide the necessary catalysts for fixing allopathy.  In a case of little severeness  you can take three granules three times per day  if anemia is accompanied by tiredness - China 5CH hot flashes - Ferrum Metallicum 6CH.  loss of strength - Natrum Muriaticum 7CH. ,Anaemia,The Homeopathic Doctor Will Often Jointly Associate Allopathy And Homeopathy - Allopathy Will Provide The Body What It Lacks Of - Iron  B12 Vitamin  And Homeopathy Will Provide The Necessary Catalysts For Fixing Allopathy.  In A Case Of Little Severeness  You Can Take Three Granules Three Times Per Day  If Anemia Is Accompanied By Tiredness - China 5Ch Hot Flashes - Ferrum Metallicum 6Ch.  Loss Of Strength - Natrum Muriaticum 7Ch. ,In A Case Of Little Severeness You Can Take Three Granules Three Times Per Day If Anemia Is Accompanied By Tiredness - China 5Ch Hot Flashes - Ferrum Metallicum 6Ch. Loss Of Strength - Natrum Muriaticum 7Ch.
ANGINA,,,,We can treat a severe angina by homeopathy  if symptoms quickly disappear (less than 24 hours)  if not contact the doctor for resorting to an antibiotic than rather take a risk of superinfection.  Sore throats  according to symptoms - Take 5 granules  2 to 4 times per day. Belladona 4CH  In case of a quick occurrence  in case of an acute red throat  in case of throat dryness  in case of a worsening when drinking cold.  Mercurius solubilise 4CH  in case of a less brutal occurrence  in case of a less red throat and in case of no drought with no white dots. Apis 4CH  in case of edema without thirst Lachesis 5CH  in case of an untouchable neck  with the left amygdala being the most affected.  Lycopodium 5CH  in case the right amygdala is the most affected.  Phytolacca 4CH  in case of a dark red and dry throat.  Cantharis 4CH  in case of a burning throat and severe thirst.  Mercurius solubilise  in case of a throat with white dots. Kali muriaticum 5CH  scrapings report a Gray secretion.   Kali bichr.  4CH  yellow ulcerations and secretions  improved by drinking warm.  Hepar sulfuris calcareum 9CH  in case of a threat of phlegmon.  ,Angina,We Can Treat A Severe Angina By Homeopathy  If Symptoms Quickly Disappear (Less Than 24 Hours)  If Not Contact The Doctor For Resorting To An Antibiotic Than Rather Take A Risk Of Superinfection.  Sore Throats  According To Symptoms - Take 5 Granules  2 To 4 Times Per Day. Belladona 4Ch  In Case Of A Quick Occurrence  In Case Of An Acute Red Throat  In Case Of Throat Dryness  In Case Of A Worsening When Drinking Cold.  Mercurius Solubilise 4Ch  In Case Of A Less Brutal Occurrence  In Case Of A Less Red Throat And In Case Of No Drought With No White Dots. Apis 4Ch  In Case Of Edema Without Thirst Lachesis 5Ch  In Case Of An Untouchable Neck  With The Left Amygdala Being The Most Affected.  Lycopodium 5Ch  In Case The Right Amygdala Is The Most Affected.  Phytolacca 4Ch  In Case Of A Dark Red And Dry Throat.  Cantharis 4Ch  In Case Of A Burning Throat And Severe Thirst.  Mercurius Solubilise  In Case Of A Throat With White Dots. Kali Muriaticum 5Ch  Scrapings Report A Gray Secretion.   Kali Bichr.  4Ch  Yellow Ulcerations And Secretions  Improved By Drinking Warm.  Hepar Sulfuris Calcareum 9Ch  In Case Of A Threat Of Phlegmon.  ,We Can Treat A Severe Angina By Homeopathy If Symptoms Quickly Disappear (Less Than 24 Hours) If Not Contact The Doctor For Resorting To An Antibiotic Than Rather Take A Risk Of Superinfection. Sore Throats According To Symptoms - Take 5 Granules 2 To 4 Times Per Day. Belladona 4Ch In Case Of A Quick Occurrence In Case Of An Acute Red Throat In Case Of Throat Dryness In Case Of A Worsening When Drinking Cold. Mercurius Solubilise 4Ch In Case Of A Less Brutal Occurrence In Case Of A Less Red Throat And In Case Of No Drought With No White Dots. Apis 4Ch In Case Of Edema Without Thirst Lachesis 5Ch In Case Of An Untouchable Neck With The Left Amygdala Being The Most Affected. Lycopodium 5Ch In Case The Right Amygdala Is The Most Affected. Phytolacca 4Ch In Case Of A Dark Red And Dry Throat. Cantharis 4Ch In Case Of A Burning Throat And Severe Thirst. Mercurius Solubilise In Case Of A Throat With White Dots. Kali Muriaticum 5Ch Scrapings Report A Gray Secretion. Kali Bichr. 4Ch Yellow Ulcerations And Secretions Improved By Drinking Warm. Hepar Sulfuris Calcareum 9Ch In Case Of A Threat Of Phlegmon.
ANGINA PECTORIS,CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X CALCAREA PHOSPHORICA 3X NATRUM MURIATICUM 3X SILICEA 12X MIX IN WATER ,,,CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X CALCAREA PHOSPHORICA 3X NATRUM MURIATICUM 3X SILICEA 12X MIX IN WATER ,Angina Pectoris,Calcarea Flouride 3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Magnesia Phosphorica 3X Calcarea Phosphorica 3X Natrum Muriaticum 3X Silicea 12X Mix In Water ,Calcarea Flouride 3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Magnesia Phosphorica 3X Calcarea Phosphorica 3X Natrum Muriaticum 3X Silicea 12X Mix In Water
ANGRY CHILD,,,,"In case your child is often angry and agitated ,  give him CHAMOMILLA 9CH  ,  in an amount of 5 granules every morning during one week. Another solution that also functions very well ,  is CINA 9CH ,  in an amount of 3 granules ,  3 times per day. ",Angry Child,"In Case Your Child Is Often Angry And Agitated ,  Give Him Chamomilla 9Ch  ,  In An Amount Of 5 Granules Every Morning During One Week. Another Solution That Also Functions Very Well ,  Is Cina 9Ch ,  In An Amount Of 3 Granules ,  3 Times Per Day. ","In Case Your Child Is Often Angry And Agitated , Give Him Chamomilla 9Ch , In An Amount Of 5 Granules Every Morning During One Week. Another Solution That Also Functions Very Well , Is Cina 9Ch , In An Amount Of 3 Granules , 3 Times Per Day."
ANNOYANCE,,,,The following remedies are recommended in case of emotional disorders  such as annoyance  emotion  fear  stress  bereavement  etcAlternate the following granules 3 times per day  until disappearance of symptoms3 granules of IGNATIA AMARA 9 CH3 granules of STAPHYSAGRIA  9 CH3 granules of ACONITUM NAPELLUS 9 CH,Annoyance,The Following Remedies Are Recommended In Case Of Emotional Disorders  Such As Annoyance  Emotion  Fear  Stress  Bereavement  Etcalternate The Following Granules 3 Times Per Day  Until Disappearance Of Symptoms3 Granules Of Ignatia Amara 9 Ch3 Granules Of Staphysagria  9 Ch3 Granules Of Aconitum Napellus 9 Ch,The Following Remedies Are Recommended In Case Of Emotional Disorders Such As Annoyance Emotion Fear Stress Bereavement Etcalternate The Following Granules 3 Times Per Day Until Disappearance Of Symptoms3 Granules Of Ignatia Amara 9 Ch3 Granules Of Staphysagria 9 Ch3 Granules Of Aconitum Napellus 9 Ch
ANOREXIA,,,,Pulsatilla 15CH 1 dose per week.  orAt wake-up - Ignatia 9CH 5 granules.  At bedtime - Lycopodium 7CH  5 granules.  On Sunday evening  Sepia 15 CH - 1 dose. ,Anorexia,Pulsatilla 15Ch 1 Dose Per Week.  Orat Wake-Up - Ignatia 9Ch 5 Granules.  At Bedtime - Lycopodium 7Ch  5 Granules.  On Sunday Evening  Sepia 15 Ch - 1 Dose. ,Pulsatilla 15Ch 1 Dose Per Week. Orat Wake-Up - Ignatia 9Ch 5 Granules. At Bedtime - Lycopodium 7Ch 5 Granules. On Sunday Evening Sepia 15 Ch - 1 Dose.
ANXIETY,,,,One dose of Ignatia taken six times every fifteen minutes  allows to reduce fear and anxiety according to doctor Panos  however take care not to take more than four doses  as in case of repetition Ignatia may trigger anxiety.  Gelsemium is another excellent drug for reducing stage fright that appears before a public presentation or an important business conference.  If you suffer from anxiety  accompanied by diarrhea  Gelsenium will fit you  just comply with the doses  of more than four a day. ,Anxiety,One Dose Of Ignatia Taken Six Times Every Fifteen Minutes  Allows To Reduce Fear And Anxiety According To Doctor Panos  However Take Care Not To Take More Than Four Doses  As In Case Of Repetition Ignatia May Trigger Anxiety.  Gelsemium Is Another Excellent Drug For Reducing Stage Fright That Appears Before A Public Presentation Or An Important Business Conference.  If You Suffer From Anxiety  Accompanied By Diarrhea  Gelsenium Will Fit You  Just Comply With The Doses  Of More Than Four A Day. ,One Dose Of Ignatia Taken Six Times Every Fifteen Minutes Allows To Reduce Fear And Anxiety According To Doctor Panos However Take Care Not To Take More Than Four Doses As In Case Of Repetition Ignatia May Trigger Anxiety. Gelsemium Is Another Excellent Drug For Reducing Stage Fright That Appears Before A Public Presentation Or An Important Business Conference. If You Suffer From Anxiety Accompanied By Diarrhea Gelsenium Will Fit You Just Comply With The Doses Of More Than Four A Day.
ANXIETY ASSOCIATED WITH HYPOCHONDRIA,,,,Hypochondria is characterized by an excessive apprehension concerning health. Thinking that a severe illness will reach you and will certainly cause death  is called the hypochondriac syndrome.  For treating this psychological harm  the homeopaths generally prescribe Aconitum or Calcarea carb.  These two homeopathic treatments are used to calm and relieve anxiety especially when hypochondria occurs brutally and becomes an obsession.  In case the anxiety crisis occur at night  the adequate treatment will always be based on Aconitum even if the patient has a delirious sleep. ,Anxiety Associated With Hypochondria,Hypochondria Is Characterized By An Excessive Apprehension Concerning Health. Thinking That A Severe Illness Will Reach You And Will Certainly Cause Death  Is Called The Hypochondriac Syndrome.  For Treating This Psychological Harm  The Homeopaths Generally Prescribe Aconitum Or Calcarea Carb.  These Two Homeopathic Treatments Are Used To Calm And Relieve Anxiety Especially When Hypochondria Occurs Brutally And Becomes An Obsession.  In Case The Anxiety Crisis Occur At Night  The Adequate Treatment Will Always Be Based On Aconitum Even If The Patient Has A Delirious Sleep. ,Hypochondria Is Characterized By An Excessive Apprehension Concerning Health. Thinking That A Severe Illness Will Reach You And Will Certainly Cause Death Is Called The Hypochondriac Syndrome. For Treating This Psychological Harm The Homeopaths Generally Prescribe Aconitum Or Calcarea Carb. These Two Homeopathic Treatments Are Used To Calm And Relieve Anxiety Especially When Hypochondria Occurs Brutally And Becomes An Obsession. In Case The Anxiety Crisis Occur At Night The Adequate Treatment Will Always Be Based On Aconitum Even If The Patient Has A Delirious Sleep.
ANXIETY IN CHILDREN,,,,"Children may also be subject to a state of anxiety which materializes ,  most of the times ,  into an unhealthy shyness and susceptibility.  For patients of this age ,  the homeopath recommends Ambrea grisea which brings a little more confidance to the child ,  calming his nervousness.  With this homeopathic medicine ,  the child will be calmer ,  it will be easier for him to break his isolation and reach out to others.  Concerning teenagers ,  they can take Gelsemium to better control their feelings.  This treatment can also reduce some unpleasant physical manifestations of anxiety such as congestion and facial redness due to shyness. ",Anxiety In Children,"Children May Also Be Subject To A State Of Anxiety Which Materializes ,  Most Of The Times ,  Into An Unhealthy Shyness And Susceptibility.  For Patients Of This Age ,  The Homeopath Recommends Ambrea Grisea Which Brings A Little More Confidance To The Child ,  Calming His Nervousness.  With This Homeopathic Medicine ,  The Child Will Be Calmer ,  It Will Be Easier For Him To Break His Isolation And Reach Out To Others.  Concerning Teenagers ,  They Can Take Gelsemium To Better Control Their Feelings.  This Treatment Can Also Reduce Some Unpleasant Physical Manifestations Of Anxiety Such As Congestion And Facial Redness Due To Shyness. ","Children May Also Be Subject To A State Of Anxiety Which Materializes , Most Of The Times , Into An Unhealthy Shyness And Susceptibility. For Patients Of This Age , The Homeopath Recommends Ambrea Grisea Which Brings A Little More Confidance To The Child , Calming His Nervousness. With This Homeopathic Medicine , The Child Will Be Calmer , It Will Be Easier For Him To Break His Isolation And Reach Out To Others. Concerning Teenagers , They Can Take Gelsemium To Better Control Their Feelings. This Treatment Can Also Reduce Some Unpleasant Physical Manifestations Of Anxiety Such As Congestion And Facial Redness Due To Shyness."
ANXIETY RESULTING FROM A TRAUMA,,,,Anxiety can also be a result of a difficult period experienced by the patient  such as a divorce  widowhood or the death of a loved one.  In such a case  the homeopath prescribes the treatment based on Ignatia for reducing psychological trauma and treating at the same time anxiety. ,Anxiety Resulting From A Trauma,Anxiety Can Also Be A Result Of A Difficult Period Experienced By The Patient  Such As A Divorce  Widowhood Or The Death Of A Loved One.  In Such A Case  The Homeopath Prescribes The Treatment Based On Ignatia For Reducing Psychological Trauma And Treating At The Same Time Anxiety. ,Anxiety Can Also Be A Result Of A Difficult Period Experienced By The Patient Such As A Divorce Widowhood Or The Death Of A Loved One. In Such A Case The Homeopath Prescribes The Treatment Based On Ignatia For Reducing Psychological Trauma And Treating At The Same Time Anxiety.
APOPLEXY,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MAGNESIA PHOSPHORICA 3X MIX AND TAKE IMMEDIATELY TO STOP TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X ONE DOSE DIALY,,"CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MAGNESIA PHOSPHORICA 3X MIX AND TAKE IMMEDIATELY TO STOP TRY REMEDY 2  , CALCAREA PHOSPHORICA 3X OR 12X ONE DOSE DAILY",Apoplexy,"Calcarea Flouride 3X Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12X Magnesia Phosphorica 3X Mix And Take Immediately To Stop Try Remedy 2  , Calcarea Phosphorica 3X Or 12X One Dose Daily","Calcarea Flouride 3X Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12X Magnesia Phosphorica 3X Mix And Take Immediately To Stop Try Remedy 2 , Calcarea Phosphorica 3X Or 12X One Dose Daily"
APPENDICITIS,CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X  KALI PHOSPHORICA 3X  KALI MURIATICUM 3X KALI  SULPHURICUM 3X NATRUM MURIATICUM 3X  NATRUM SULPHURICUM 3X SILICEA 12X  MAGNESIA PHOSPHORICA 3X  MIX IN VERY HOTWATER MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 2," CALCARIA SULPHURICUM          3X  , CALCAREA PHOSPHORICA 3X OR 12X ,  KALI PHOSPHORICA 3X      ,     KALI  SULPHURICUM ,  6X NATRUM MURIATICUM 3X  MIX IN VERY HOTWATER MANY TIMES A DAY . ",,"CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X  KALI PHOSPHORICA 3X  KALI MURIATICUM 3X KALI  SULPHURICUM 3X NATRUM MURIATICUM 3X  NATRUM SULPHURICUM 3X SILICEA 12X  MAGNESIA PHOSPHORICA 3X  MIX IN VERY HOTWATER MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 2 ,  CALCARIA SULPHURICUM          3X  , CALCAREA PHOSPHORICA 3X OR 12X ,  KALI PHOSPHORICA 3X      ,     KALI  SULPHURICUM ,  6X NATRUM MURIATICUM 3X  MIX IN VERY HOTWATER MANY TIMES A DAY.",Appendicitis,"Calcarea Flouride 3X Ferrum Phosphoricum 12X  Kali Phosphorica 3X  Kali Muriaticum 3X Kali  Sulphuricum 3X Natrum Muriaticum 3X  Natrum Sulphuricum 3X Silicea 12X  Magnesia Phosphorica 3X  Mix In Very Hotwater Many Times A Day If Remedy Fails Try Remedy 2 ,  Calcaria Sulphuricum          3X  , Calcarea Phosphorica 3X Or 12X ,  Kali Phosphorica 3X      ,     Kali  Sulphuricum ,  6X Natrum Muriaticum 3X  Mix In Very Hotwater Many Times A Day.","Calcarea Flouride 3X Ferrum Phosphoricum 12X Kali Phosphorica 3X Kali Muriaticum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Silicea 12X Magnesia Phosphorica 3X Mix In Very Hotwater Many Times A Day If Remedy Fails Try Remedy 2 , Calcaria Sulphuricum 3X , Calcarea Phosphorica 3X Or 12X , Kali Phosphorica 3X , Kali Sulphuricum , 6X Natrum Muriaticum 3X Mix In Very Hotwater Many Times A Day."
APPETITE TO DECREASE,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE . ,,,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE . ,Appetite To Decrease,Calcarea Phosphorica 3X Or 12X Calcarea Sulphuricum 3X Kali Phosphoricum 3X Natrum Muriaticum 3X Silicea 12X Mix And Take . ,Calcarea Phosphorica 3X Or 12X Calcarea Sulphuricum 3X Kali Phosphoricum 3X Natrum Muriaticum 3X Silicea 12X Mix And Take .
APPETITE TO INCREASE,BRYONIA 6 ONE TABLET AT A GAP OF HOURS FOR ONE OR TWO DAYS IF REMEDY FAILS TRY REMEDY 2,NUX VOMICA 3 ONE TABLET FOR TWO DAYS AT A GAP OF 6 HOURS IF REMEDY FAILS TRY REMEDY 3,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 3-4TIMES A DAY ,"BRYONIA 6 ONE TABLET AT A GAP OF HOURS FOR ONE OR TWO DAYS IF REMEDY FAILS TRY REMEDY 2 , NUX VOMICA 3 ONE TABLET FOR TWO DAYS AT A GAP OF 6 HOURS IF REMEDY FAILS TRY REMEDY 3 , CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 3-4TIMES A DAY ",Appetite To Increase,"Bryonia 6 One Tablet At A Gap Of Hours For One Or Two Days If Remedy Fails Try Remedy 2 , Nux Vomica 3 One Tablet For Two Days At A Gap Of 6 Hours If Remedy Fails Try Remedy 3 , Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12X Mix And Take 3-4Times A Day ","Bryonia 6 One Tablet At A Gap Of Hours For One Or Two Days If Remedy Fails Try Remedy 2 , Nux Vomica 3 One Tablet For Two Days At A Gap Of 6 Hours If Remedy Fails Try Remedy 3 , Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12X Mix And Take 3-4Times A Day"
