English,Remedy_1,Remedy_2,Remedy_3,Remedy
BACKACHE-LUMBAGO,"CALCAREAFLOURIDE3X,CALCAREAPHOSPHORICA 3X ,12X ,CALCAREA  SULPHURICUM 3X, KALI SULPHURICUM3X, NATRUM MURIATICUM3X  ,SILICEA12X, FERRUM PHOSPHORICUM12X KALI PHOSPHORICUM3X ,MAGNESIA PHOSPHORICA3X, NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM3X MIX , TAKE IF REMEDY FAILS TRY REMEDY 2",ONLYKALI MURIATICUM 3X ,,"CALCAREAFLOURIDE3X,CALCAREAPHOSPHORICA 3X ,12X ,CALCAREA  SULPHURICUM 3X, KALI SULPHURICUM3X, NATRUM MURIATICUM3X  ,SILICEA12X, FERRUM PHOSPHORICUM12X KALI PHOSPHORICUM3X ,MAGNESIA PHOSPHORICA3X, NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM3X MIX , TAKE IF REMEDY FAILS TRY REMEDY 2,ONLYKALI MURIATICUM 3X ,"
BARBER'S ITCH,MAGNESIA PHOSPHORICA 3X IF REMEDY FAILS TRY REMEDY 2," KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,NATRUM PHOSPHORICUM 3X MIX AND TAKE, IF REMEDY FAILS TRY REMEDY 3", CALCAREA SULPHURICUM 3X,"MAGNESIA PHOSPHORICA 3X IF REMEDY FAILS TRY REMEDY 2, KALI MURIATICUM 3X,KALI  PHOSPHORICA 3X,NATRUM PHOSPHORICUM 3X MIX AND TAKE, IF REMEDY FAILS TRY REMEDY 3, CALCAREA SULPHURICUM 3X"
BEHAVIOR DISORDERS,,,,The behavoir disorders manifested through aggression  are treated by a medication of  Nux vomica 15 CH  in an amount of 5 granules per day and the treatment can last for 3 months. In case the patient suffers from motion sickness  he should be treated with a medication of 5 granules of Nux vomica 9 CH at the time of departure. For treating insomnia  it is recommended to take 5 granules of Nux vomica 15 CH at bedtime. The medication can be repeated if the patient is not able to fall asleep. For treating somnolence that occurs after meal  it is recommended to take 5 granules of Nux vomica 9 CH. For treating the infant\u2019s behavior disorders  administrate him 5 granules of Nux vomica 5 CH before each feeding. For this  dissolve the granules in a teaspoonful of water and put it in his baby bottle.
BELCHING\/ERUCTIOEXCESSIVE,NATRUM MURIATICUM 3X MAGNESIA PHOSPHORICA 3X KALI PHOSPHORICUM 3X CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE ,,,NATRUM MURIATICUM 3X MAGNESIA PHOSPHORICA 3X KALI PHOSPHORICUM 3X CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE 
BERGIERS DISEASE,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,NATRUM SULPHURICUM 3X CALCAREA  SULPHURICUM 3X KALI SULPHURICUM 3X MIX AND TAKE ,,"CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,NATRUM SULPHURICUM 3X CALCAREA  SULPHURICUM 3X KALI SULPHURICUM 3X MIX AND TAKE ,"
BERI-BERI,"TAKE CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X ,NATRUM MURIATICUM 3X, NATRUM SULPHURICUM 3X",,,"TAKE CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X ,NATRUM MURIATICUM 3X, NATRUM SULPHURICUM 3X"
BILIOUSNESS,KALI MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE ,,,KALI MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE 
BLINDNESS,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X KALI MURIATICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE,,,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X KALI MURIATICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE
BLISTERS,NATRUM MURIATICUM 3X KALI PHOSPHORICUM 3X MIX AND TAKE ,,,NATRUM MURIATICUM 3X KALI PHOSPHORICUM 3X MIX AND TAKE 
BLOATING,,,,For fighting against fermentation  take 3 granules 3 times per day  before meals  of one of the following medicines :According to placement : Stomach bloating : Carbo Veg. 5CH Bloating of the lower part of the belly : Lycopodium 5CH Total bloating  of both the stomach and the belly : China Officinalis 5CH. According to the accompanying symptoms : Bloating with sensation of constriction in the pit of the stomach: Carbo Veg. 5CHBloating with breathlessness: Carbo Veg. 7CH Bloating with somnolence after the meals : Nux Vomica 5CH According to different symptoms : Bloating improved by the air return : Carbo Veg. 7CH Bloating improved by the bottom gas emissions : Lycopodium 5CH. According to the cause :Bloating produced by the nervous condition : Kali Carbonicum 5CH \/ Ignatia 7CH Bloating during menstruation : Cocculus Indicus 5CH.
"BLOWS, BRUISES",,,,Take 3 granules per day of Hamamelis 5CH until disappearance of symptoms
BOIL,,,,Boil is manifested by a progressive occurence of a chronic  red  hot and very painful swelling  around a hair. Atop the swelling  a yellowish pustule appears.At wake-up : Hepar Sulfur 7CH ; 5 granules of each. At lunchtime: Pyrogenium 7CH. In the evening : Silicea 7CH and Anthracinum 7CH. On Sunday : Staphylococcinum 9CH ; 1 dose.
BREATHLESNES,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE ,,,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE 
BRONCHITIS,NATRUM SULPHURICUM 3X SILICEA 12X KALI MURIATICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA  SULPHURICUM 3X ,,"NATRUM SULPHURICUM 3X SILICEA 12X KALI MURIATICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA  SULPHURICUM 3X ,"
BRUISES,,,,ARNICA 5CH : most widely used cure especially in the presence of posttraumatic externalized bleedings; it can be associated with CHINA 5CH
BRUISES,,,,Alternate the following granules 3 times per day  until disappearance of symptoms3 granules of PHOSPORUS 5 CH3 granules of HAMAMELIS VIRGINIANA 5 CH3 granules of ARNICA MONTANA 5 CH
BUMPS AND BRUISES,,,,"Give right away Arnica Montana 9 CH, 3 granules (leave to melt under the tongue).Then 3 granules 3 times per day, until the pain fades away.Apply a compress of Arnica tincture as soon as possible (except in case of wounds)."
BURNING SENSATION,SILICEA 12X CALCAREA PHOSPHORICA 3X OR 12X NATRUM MURIATICUM 3X MIX AND TAKE ,,,SILICEA 12X CALCAREA PHOSPHORICA 3X OR 12X NATRUM MURIATICUM 3X MIX AND TAKE 
BURNS,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X KALI SULPHURICUM 3X MIX IN WATER AND TAKE MANY TIMES A DAY,,,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X KALI SULPHURICUM 3X MIX IN WATER AND TAKE MANY TIMES A DAY
BURNS,,,,Painful burns : Belladonna 5CH  2 granules 3 times per day Burns with blisters or vesicles : Cantharis 5CH et Rhus tox. 5CH  2 granules 3 times per day Edematous  burning  prickly eruptions  improved by cold applications : Apis 9CH  2 granules 3 times per day Can not stand the sun : Natrum Muriaticum 9CH  1 dose per week in April  MaySun hives: Apis 7CH  2 granules 3 times per day
CAPILLARY FRAGILITY,,,,Hamamelis 5CH : 5 granules. Aesculus 5CH : 5 granules.
CARBUNCLE,CALCAREA FLOURIDE3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 6X SILICEA 12X MIX IN WATER AND TAKE,,,CALCAREA FLOURIDE3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 6X SILICEA 12X MIX IN WATER AND TAKE
CATARACT,MAGNESIA PHOSPHORICA 3X CALCAREA FLOURIDE 12X NATRUM PHOSPHORICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE 12X SILICEA 12X CALCAREA PHOSPHORICA 3X KALI MURIATICUM 12X KALI  SULPHURICUM 12X NATRUM SULPHURICUM 12X MIX AND TAKE 3OR4 TIMES A DAY,,"MAGNESIA PHOSPHORICA 3X CALCAREA FLOURIDE 12X NATRUM PHOSPHORICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE 12X SILICEA 12X CALCAREA PHOSPHORICA 3X KALI MURIATICUM 12X KALI  SULPHURICUM 12X NATRUM SULPHURICUM 12X MIX AND TAKE 3OR4 TIMES A DAY,"
CATARRH COLD,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X ,,"FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X ,"
CELLULITE,,,,Alternate in the morning 3 granules of Graphites 5CH and Sulfur 5CH  and in the evening 3 granules of Nux vomica 5CH and Arnica 5CH.In addition  for a more elastic and a softer skin  it is advised to take Silicea 5CH in an amount of 3 granules 2 times per day.Treatment to be done during 3 months.
CENESTHOPATHIA,,,,Cenesthopathia is a disorder of the internal sensitivity  defined by an abnormal or painful body sensation  often hallucinatory.Sabadilla  obtained through sabadilla  a mexican plant  is used for fighting against Cenesthopathia. It is obtained from the granules of the plant that is to dry before removing the mother tincture. It is Sabadilla 15 CH that is used for treating cenesthopathia  treatment which must last at least for three months  five granules two times a day  in the morning and in the evening.Tablets are placed under the tongue until they melt.
CHEST ANGINA,,,,Sometimes  only one medicine will be tried. We might be satisfied if the effect is immediate. This will mean that the spasmodic element predominates. Aconit 7CH 1 dose at the beggining of crisis. Spigelia 5CH 5 granules every 10 minutes. In case of a sensation of heart in a vice : Cactus Grandiflorus 5CH Three granules from the beggining of the crisis. In case of pain in the heart irradiating towards the left hand : Latrodectus Mactans 5CH. Three granules from the beggining of the crisis.  In case of pain in the heart with cold sweats and need to uncover himself: Tabacum 5CH. Three granules from the beggining of the crisis.
CHIBLAIN,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX IN WATER AND TAKEIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE3X CALCAREA SULPHURICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X MIX AND TAKE ,,"CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX IN WATER AND TAKEIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE3X CALCAREA SULPHURICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X MIX AND TAKE ,"
CHICKEN POX,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X KALI PHOSPHORICUM 3X CALCAREA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE AT A GAP OF 3-3 HOURS,,,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X KALI PHOSPHORICUM 3X CALCAREA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE AT A GAP OF 3-3 HOURS
CHICKEN POX,,,,"3 granules of each, 3 times per day, during 10 days. Antimonium Crudum 9CH Mezereum 9CH Rhus Toxicodendron 9CH In case the chicken pox \comes out\"" badly"
CHILDHOOD ASTHMA,,,,"Treatment of severe crisis : Take 3 granules every 5 minutes or every quarter of an hour, according to the intensity of the crisis, of one of the following medicines :Asthma alternating with cutaneous manifestations (eczema) : Arsenicum Album 5CH.  In case of asthma during raining periods: Dulcamara 7CH.  Following an annoyance : Ignatia 9CH. In case of asthma occuring after meal : Nux Vomica 5CH In the following ways :  Improved when leaning forward : Kalium Carbonicum 7CH.Improvement in sitting posture, elbows on knees : Medorrhinum 9CH.Worsened after sleeping : Lachesis 9CH. Sensitive to humidity : Kali iodatum 5CH.According to times of occurence of the asthma crisis : Around midnight : Sambucus nigra (laryngeal cough with severe suffocation)  Between 0 and 3 o\u2019clock am : Arsenicum Album  Between 2 and 4 o\u2019clock am: Kalium Carbonicum.  Around 3 o\u2019clock am: Ammonium Carbonicum (patients with cardio-renal problems) Between 3 and 5 o\u2019clock am : Thuya et Natrum Sulfurum  At wake-up : Lachesis (Impression of suffocation) According to the accompanying symptoms (concomitants) : Sensations : burns in the chest : Arsenicum Album 7CH. With mucus difficult to evacuate and snoring : Antimonium tartaricum 5CH. Asthma with wheezing cough or nausea : Ipeca 7CH. Asthma with heat sensation in the chest : Phosphorus 9CH.Background treatment : Thuya 9CH 1 dose per week or Natrum Sulfurum 15CH / 1 dose per week. Menopausal women: Lachesis 9 CH / 10 granules on Sunday. Apathetic: Calcorea carbonica 7 CH / 10 granules. "
CHILDREN TAKE LONG TO SPEAK OR WALK,TAKE ONLY CALCAREA PHOSPHORICA 3X IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X KALI PHOSPHORICUM 3X NATRUMMURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,,"TAKE ONLY CALCAREA PHOSPHORICA 3X IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X KALI PHOSPHORICUM 3X NATRUMMURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,"
CHILDS VOMITING,,,,"ARSENICUM ALBUM 5CH : vomiting at the sight of food, feeling very bad, generally followed by a fetid and irritating diarrhea. ANTIMONIUM CRUDUM 5CH : exhausting vomiting, white tongue like milk on its entire surface, belching, noisy and greedy child. AETHUSA CYNAPIUM 5CH : milk intolerance, even milk allergy, vomiting the most part of meals immediately or later on in large acid clots, followed by somnolence. ARGENTUM NITRICUM 5CH : desire for sweets that are not tolerated, more regurgitations than vomiting, agitated child. BISMUTHUM 5CH : profuse and late vomiting revealing a stasis in the stomach. CALCAREA PHOSPHORICA 5CH : skinny, howling, hungry child that hurries up to the food, eating fast and vomiting it immediately. CUPRUM 5CH : violent spasmodic vomiting with cramps in the stomach. CHAMOMILLA 5CH : vomiting during dental growth or dental pain. IPECA 5CH : vomiting food usually mixed with bile, vomiting does not relieve but the tongue remains clean. IRIS VERSICOLOR 5CH : acid and burning vomiting. KREOSOTUM 5CH : regurgitations occuring late, several hours after meal. MAGNESIA CARBONICA 5CH : chilly tired infant, that no longer digests milk and early calls for diversification of the meals ; vomiting,  acid burp regurgitations. NATRUM CARBONICA 5CH : belching, acid vomiting with abdominal distension ; disgust for milk and vegetables, aggravated by summer heat. NUX VOMICA 5CH : too rich a diet, vomiting that relieves, dirty bitter tongue, desires for acids, angry child, in a very bad mood. PHOSPHORUS 5CH : vomiting occuring right at the beggining of the meal, as soon as liquids get into the stomach. PULSATILLA 5CH : vomiting occuring after ingestion of fatty foods SENNA 5CH : acetic vomiting with pippin odor. VERATRUM ALBUM 5CH : severe vomiting. With cold sweats and severe diarrhea."
CHOLERA,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUMSULPHURICUM 3X MIX IN WATER AND  GIVE MANY TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X CALCAREA SULPHURICUM 3X SILICEA 12X MIX AND TAKE DRINK WARM WATER DONT TAKE MILK,,"CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUMSULPHURICUM 3X MIX IN WATER AND  GIVE MANY TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X CALCAREA SULPHURICUM 3X SILICEA 12X MIX AND TAKE DRINK WARM WATER DONT TAKE MILK,"
COLD TENDENCY TO CATCH,CALCAREA PHOSPHORICA 3X OR 12X CALENDULA\nSULPHURICUM 3X FERRUM PHOSPHORICUM 12X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX IN WATER  AND TAKE  AT 8:00AM 5:00PM 9:00PM ,,,CALCAREA PHOSPHORICA 3X OR 12X CALENDULA\nSULPHURICUM 3X FERRUM PHOSPHORICUM 12X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX IN WATER  AND TAKE  AT 8:00AM 5:00PM 9:00PM 
COLDS,,,,Change (or associate) the remedy according to the evolution of symptoms:Clear flow like water : Allium Cepa 9 CH.Yellow greenish flow : Kalium Bichromicom 9 CH.Frequent sneezing : Nux Vomica 9 CH.Dry stuffy nose : Sambucus Nigra 9 CH.3 granules (leave to melt under the tongue) 3 times per day as long as symptoms continue.
COLDS,,,,If you suffer from a sinus congestion  of green and thick nose running  sensitivity when touched and pain on the cheeks and on the nose bridge  try one dose of 30 CH of Kali bichromicum one or two times a day until you begin to feel better  says doctor Reichenberg-Ullman. If you feel hot  if you feel better in fresh air  if you are not thirsty at all  and if you feel too emotional  try one dose of 30 CH of Pulsatilla one or two times a day. If you have a chest cold accompanied by cough  irritability and thirst  doctor Reichenberg-Ullman recommends one dose of Bryonia 30 CH three times a day. Furthermore  in case you feel agitated  anxious  irritable  in case you have chills and are thirsty (but you only drink small sips)  and if you have a liquid and stinging nose running  she recommends to take one dose of 30 CH of Arsenicum one or two times a day.
COLIC,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 3X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE WITH WATER IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X CALCAREA SULPHURICUM 3X FERRUM PHOSPHORICUM 12X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX IN WATER AND TAKE,,"CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 3X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE WITH WATER IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X CALCAREA SULPHURICUM 3X FERRUM PHOSPHORICUM 12X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX IN WATER AND TAKE,"
COLICS,,,,"Severe abdominal pain resulting from violent intestinal contractions. Different diarrhea Calmosine(dill syrup). To give a small quantity before the feedings. BOLINAN: 1/4 tablet before bedtime bottle(in case the baby has colics only at night).   For granules: allow 5 granules to melt under the tongue several times a day, until symptoms disappear. ACONIT 5CH: colics after catching a cold, sometimes with fever and no sweating. Green stools like spinach AETHUSA CYNAPIUM 5CH: colics followed by watery, green diarrhea ; then by prostration and somnolence, significant weight loss, intolerance to milk. ARSENICUM ALBUM 5CH: nightly pains relieved by pressure and heat, the child is worse between 1 am and 3 am (anxiety). Diarrhea with rather brown stools, putrid odor, very irritating (burns in the rectum and the anus), diarrhea due to food poisoning . BOVISTA 5CH: pains after meals, relieved by pressure  CARBO VEGETABILIS 5CH: paleness and bloating, relieved by belching, diarrhea with very fetid stools, with cadaverous smell, sometimes with the presence of blood  CHAMOMILLA 5CH: colics causing bending with greenish diarrhea or as scrambled eggs, colics and diarrhea due to dental pains aggravated by hot drinks and improved by cold drinks.COLOCYNTHYS 5CH : violent colics, triggered by anger, improved by bending over or by pressing the belly, diarrhea with yellow-saffron stools becoming greenish. DIOSCOREA 5CH: colics improved by leaning back. MAGNESIA CARBONICA 5CH : pains during meals causing bending over, green mucous diarrheas, with much rumbling  NATRUM SULFURICUM 5CH : gurgling and painful bloating improved by morning diarrhea, jumps at the slightest noise. STAPHYSAGRIA 5CH : colics aggravated by anger. improved after sleeping VERATRUM ALBUM 5CH : colics occurring at night, with cold sweats relieved by hot drinks or heat, cold skin, thirst for acid drinks, violent diarrhea, with abundant emission jet."
